pmid,title,authors,rochester_authors,journal,abbreviation,pubdate,llm_summary
41082790,Erratum. Targeted biopsy of the ulnar nerve for amyloidosis with potential implications of a diagnostic and nondiagnostic biopsy: illustrative case.,Spinner RJ,,J Neurosurg Case Lessons,,2025 Oct 13,LLM summary not generated
41082711,Safety of immunotherapy post liver transplantation- A multicentered study of a prospective standardized clinical practice protocol.,Watt KD; Panda S; Pierluissi V; Abarca R; Rusch D; Tapia AL; Chascsa DMH; Abou-Alfa GK; Azhari H,,Liver Transpl,,2025 Oct 13,"This study examined the safety of using immunotherapy drugs, known as immune checkpoint inhibitors (ICIs), in liver transplant recipients who develop cancer. Liver transplant patients take medications to suppress their immune system and prevent organ rejection, which can make them more vulnerable to infections and cancer. However, ICIs work by boosting the immune system to fight cancer, raising concerns about potential rejection of the transplanted liver. 

The researchers developed a standardized protocol to carefully manage immunosuppression medications while administering ICIs to 20 liver transplant patients with advanced cancers. They closely monitored the patients for any signs of organ rejection or side effects from the immunotherapy. While a few patients experienced complications like pneumonitis or heart inflammation, most tolerated the treatment well. Importantly, the researchers found a low risk of the transplanted liver being rejected, suggesting that ICIs can be used safely in this high-risk population with proper management. Several patients even showed partial responses or slowed progression of their cancers. 

These findings indicate that liver transplant recipients should not be automatically excluded from potentially life-saving immunotherapy, provided that their immunosuppression is carefully monitored and adjusted. This could open up new treatment options for transplant patients with cancer, an area that has been understudied. Ongoing research is still needed to further optimize the balance between cancer control and organ rejection in this complex patient population."
41082621,A Long-Stay Unit Incorporating LPNs Into the Staffing Model: A New Innovation in Patient Flow.,Goodman KJ; Chambers SP; Brake KA; Christenson MM; Gnagey SJ; Masching KJ; Villont KM; Zimmerman AR; Newman JS,,J Nurs Adm,,2025 Oct 13,"This research aimed to address the growing challenge of ""discharge delays"" in hospitals, where patients are ready to leave the hospital but cannot be discharged due to various factors. With a shortage of nurses and increasing patient needs, hospitals are searching for innovative and cost-effective ways to provide quality care. The researchers developed a new care model that co-located patients with discharge delays in a specialized hospital unit, leveraging the skills of licensed practical nurses (LPNs) alongside registered nurses (RNs). In the first year, this unit successfully discharged 358 patients, and patients reported high satisfaction with their care. Nurses also felt less burned out and found more meaning in their work. This innovative approach demonstrates how hospitals can optimize the roles of different nursing staff to provide quality care without overburdening any one group. By incorporating LPNs into the care team, the hospital was able to reduce the overall nursing staff required while maintaining high-quality patient outcomes. This model offers a promising solution to the growing challenge of discharge delays and could help alleviate strain on the healthcare system."
41082597,"Response by Johnston et al to Letters Regarding Article, ""Risk of Incident Atrial Fibrillation in Women With a History of Hypertensive Disorders of Pregnancy: A Population-Based Retrospective Cohort Study"".",Johnston A; Edwards JD; Coutinho T,,Circulation,,2025 Oct 14,LLM summary not generated
41082593,Postmortem Evaluation of Young Competitive Athletes After Sudden Cardiac Death: Time to Shock the System?,Petek BJ; Maleszewski JJ; Harmon KG,,Circulation,,2025 Oct 14,LLM summary not generated
41082342,Long-Term Outcomes After Fontan Conversion Operation: A Comparative Analysis Based on Type of Fontan Connection.,Moustafa A; Kholeif Z; Miranda WR; Connolly HM; Stephens EH; Dearani JA; Egbe AC,,Circ Heart Fail,,2025 Oct 13,"This medical research study looked at long-term outcomes for patients who have undergone a Fontan procedure, a complex heart surgery performed on children born with certain congenital heart defects. The researchers compared three groups of Fontan patients: those with the original atriopulmonary Fontan connection, those who had the connection converted to a total cavopulmonary connection (TCPC), and those who had the TCPC connection from the start. 

The study found that patients who had the conversion surgery to TCPC and those who had the TCPC connection initially had similar long-term survival rates over 15 years, around 50-60% surviving without needing a heart transplant. However, the researchers noted that the conversion surgery itself carries a high risk of complications and mortality. 

These results suggest that for many adult Fontan patients, the conversion surgery may not be the best treatment option, as the risks may outweigh the potential benefits. The researchers concluded that the length of time a patient has lived with the Fontan physiology, rather than the specific type of connection, may be the most important factor in determining long-term outcomes. This information can help guide treatment decisions and set realistic expectations for Fontan patients and their families."
41082311,Association Between Thyroid Disease and Scleritis Using a Population-Based Method.,Wang KY; Tanke LB; Xu TT; Liu LL; Reynolds MM; Hodge DO; Smith WM,,Ocul Immunol Inflamm,,2025 Oct 13,"This study investigated the potential link between thyroid disease and a rare eye condition called scleritis. Scleritis is an inflammation of the white part of the eye that can be painful and lead to vision problems. Thyroid disorders, such as Graves' disease, are known to sometimes cause eye-related symptoms, so the researchers wanted to see if there was a connection between thyroid disease and scleritis as well.

The researchers reviewed medical records from a county in Minnesota to identify all patients diagnosed with scleritis over a 10-year period. They compared these patients to a control group of people without scleritis, matching them for age and sex. The team then checked if the patients in each group also had thyroid disease. 

While the results showed a slightly higher rate of thyroid disease in the scleritis group, this difference was not statistically significant. In other words, the data did not provide strong evidence of a link between thyroid disease and scleritis. However, the researchers did find a significant association between scleritis and other autoimmune conditions. 

This suggests that scleritis may be more closely tied to general autoimmune dysfunction rather than specific thyroid disorders. More research is still needed to fully understand the underlying causes and potential systemic connections of scleritis. But this study provides helpful information for doctors treating patients with eye inflammation or thyroid problems."
41082215,Slow-Tempo Music and Delirium/Coma-Free Days Among Older Adults Undergoing Mechanical Ventilation: A Randomized Clinical Trial.,Khan BA; Khan SH; Perkins AJ; Heiderscheit A; Unverzagt FW; Wang S; Downs JH 3rd; Gao S; Chlan LL,,JAMA Intern Med,,2025 Oct 13,"In this medical study, researchers investigated whether listening to slow-tempo music could help reduce delirium, pain, and anxiety in older adults on mechanical ventilation in the intensive care unit (ICU). Delirium, a sudden change in mental state, is a common and serious problem for older ICU patients, affecting up to 80% of them. The researchers conducted a clinical trial where some patients listened to calming music through headphones twice a day, while others listened to silence. They measured the number of delirium-free days, as well as the severity of delirium, pain, and anxiety. However, the study found no significant differences between the music and control groups on any of these outcomes. While this was disappointing, it provides important information that can guide future research on supporting the mental health of vulnerable ICU patients. The study had some limitations, such as a relatively small sample size, that could have influenced the results. Overall, this research highlights the challenges of improving delirium and related symptoms in critically ill older adults, and the need for continued investigation into effective interventions."
41082199,Posttreatment Amyloid Levels and Clinical Outcomes Following Donanemab for Early Symptomatic Alzheimer Disease: A Secondary Analysis of the TRAILBLAZER-ALZ 2 Randomized Clinical Trial.,Lu M; Kim MJ; Collins EC; Shcherbinin S; Ellinwood AK; Yokoi Y; Brooks DA; Hansson O; Knopman DS; Sims JR; Mintun MA,,JAMA Neurol,,2025 Oct 13,"Alzheimer's disease is a devastating condition that affects millions of people worldwide. As the disease progresses, a buildup of amyloid proteins in the brain is a key driver of the condition. This study explored whether reducing these amyloid levels through a new drug called donanemab could slow the clinical decline in people with early-stage Alzheimer's. The researchers conducted a large clinical trial, involving over 1,500 participants, to assess the relationship between amyloid levels after treatment and various measures of disease progression and biomarkers. They found that participants who received donanemab had lower amyloid levels compared to those who received a placebo, and these lower amyloid levels were strongly correlated with slower cognitive decline and improvements in other Alzheimer's-related biomarkers. This suggests that donanemab's ability to remove amyloid plaque is the key mechanism behind its potential clinical benefits. These findings support the use of amyloid levels as a surrogate marker for evaluating the effectiveness of Alzheimer's treatments, which could accelerate the development of new therapies and improve outcomes for patients with this debilitating disease."
41082194,Adult Adrenal Insufficiency-Reply.,Vaidya A; Findling J; Bancos I,,JAMA,,2025 Oct 13,LLM summary not generated
