pmid,title,authors,citation,first_author,journal_abbrev,year,pubdate,journal,affiliation,doi
40903741,Barriers and facilitators to using practice facilitators to implement a remote cancer symptom management intervention: a mixed methods study.,"Minteer SA, Ridgeway JL, Pachman DR, Austin JD, Griffin JM, Ruddy KJ, Cheville AL",,Minteer SA,BMC Health Serv Res,2025,2025/09/04,BMC health services research,,
40903578,PICALM Alzheimer's risk allele causes aberrant lipid droplets in microglia.,"Kozlova A, Zhang S, Sudwarts A, Zhang H, Smirnou S, Byeon SK, Thapa C, Sun X, Stephenson K, Zhao X, Jamison B, Ponnusamy M, He X, Schneider JA, Pandey A, Bennett DA, Pang ZP, Sanders AR, Bellen HJ, Thinakaran G, Duan J",,Kozlova A,Nature,2025,2025/09/04,Nature,,
40903569,Rewiring of cortical glucose metabolism fuels human brain cancer growth.,"Scott AJ, Mittal A, Meghdadi B, O'Brien A, Bailleul J, Sravya P, Achreja A, Zhou W, Xu J, Lin A, Wilder-Romans K, Liang N, Kothari AU, Korimerla N, Edwards DM, Wu Z, Feng J, Su S, Zhang L, Sajjakulnukit P, Andren AC, Park JO, Ten Hoeve J, Tarnal V, Redic KA, Qi NR, Fischer JL, Yang E, Regan MS, Stopka SA, Baquer G, Suresh K, Sarkaria JN, Lawrence TS, Venneti S, Agar NYR, Vlashi E, Lyssiotis CA, Al-Holou WN, Nagrath D, Wahl DR",,Scott AJ,Nature,2025,2025/09/04,Nature,,
40903380,Clinical impact and cost-effectiveness of a novel bedside ingestible optical sensor for detection of upper GI bleeding.,"Saumoy M, Storm A, Buller S, Thiruvengadam N",,Saumoy M,Am J Emerg Med,2025,2025/09/04,The American journal of emergency medicine,,
40903203,Domain-specific physical activity and mental health: an updated systematic review and multilevel meta-analysis in a combined sample of 3.3 million people.,"Teychenne M, Sousa GM, Baker T, Liddelow C, Babic M, Chauntry AJ, France-Ratcliffe M, Guagliano J, Christie HE, Tremaine EM, Booker B, Gargioli D, Bannell DJ, Bao R, Brooks C, Lubans DR, Swann C, Vella SA, Lonsdale C, Bergamo Dos Santos A, White RL",,Teychenne M,Br J Sports Med,2025,2025/09/04,British journal of sports medicine,,
40903161,Primary Ewing Sarcoma of the Kidney.,"Abdelfattah A, Tekin B, Erickson LA",,Abdelfattah A,Mayo Clin Proc,2025,2025/09/04,Mayo Clinic proceedings,,
40903154,Mayo Clinic Proceedings in the Last Century: Seminal Contributions by Mayo Clinic Physicians and Researchers to the Field of Neurogastroenterology.,"Camilleri M, Talley NJ",,Camilleri M,Mayo Clin Proc,2025,2025/09/04,Mayo Clinic proceedings,,
40903131,Influence of Type 2 Diabetes on the Effects of Tirzepatide in Patients With Heart Failure and a Preserved Ejection Fraction With Obesity: A Prespecified Stratification-Based Analysis.,"Packer M, Zile MR, Kramer CM, DiMaria JM, Baum SJ, Litwin SE, Murakami M, Zhou C, Ou Y, Koeneman L, Borlaug BA, SUMMIT Trial Study Group",,Packer M,J Am Coll Cardiol,2025,2025/09/04,Journal of the American College of Cardiology,,
40903130,Moving Beyond the Model: Our Perspective on Meaningful AI Research in Cardiovascular Care.,"Jain SS, Mortazavi BJ, Chan You S, Yao X, Lam CSP, Elias P, Poterucha TJ, Avram R, Tison GH, Pirruccello J, Huang C, Wiens J, Schwamm L, Ruan X, Dunn J, Luo Y, Spatz ES, Krumholz HM",,Jain SS,J Am Coll Cardiol,2025,2025/09/04,Journal of the American College of Cardiology,,
40902955,Echocardiographic Phenotypic Differences between Light Chain and Transthyretin Cardiac Amyloid and Relation to Outcome.,"Hamza I, Bavishi S, Massad F, Desai V, Scott CG, AbouEzziddine OF, Dispenzieri A, Grogan M, Pellikka PA",,Hamza I,J Am Soc Echocardiogr,2025,2025/09/04,Journal of the American Society of Echocardiography : official publication of the American Society of Echocardiography,,
40902873,Emerging tracers for cardiac imaging: Innovations and clinical implications.,"Homb AC, Homb AW, Jouni H",,Homb AC,Prog Cardiovasc Dis,2025,2025/09/04,Progress in cardiovascular diseases,,
40902854,HNF1A-inactived Hepatocellular Adenomas in Fibropolycystic Kidney and Liver Disease Are Associated with Germline HNF1B Variant.,"Hagen CE, Karamchandani DM, Ricaurte L, Nagaraj N, Sarangi V, Hartley CP, Patel C, Salomao M, Pai R, Graham RP",,Hagen CE,Mod Pathol,2025,2025/09/04,"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",,
40902845,Author's Reply: Hysteroscopy-Guided Endometrial Sampling Diagnostic Performance in Endometrial Intraepithelial Neoplasia Patients.,"Khalife T, Butler KA, Rassier SLC",,Khalife T,J Minim Invasive Gynecol,2025,2025/09/04,Journal of minimally invasive gynecology,,
40902726,Evaluation of Atypical FISH Findings by RNA Sequencing.,"Pitel BA, Alvand S, Montanari MA, Sill DR, Sosa C, Petersen MJ, Hofich CD, Pujari GP, Meyer RG, Gupta S, Sukov WR, Torres-Mora J, Halling KC, Geiersbach KB",,Pitel BA,J Mol Diagn,2025,2025/09/04,The Journal of molecular diagnostics : JMD,,
40902666,Drug and vaccine-associated pemphigoid in patients aged 50 years and older: a pharmacovigilance study.,"Tran TS, Le DV, Nguyen TM, Lehman JS, Wetter DA, Nguyen GH",,Tran TS,J Am Acad Dermatol,2025,2025/09/04,Journal of the American Academy of Dermatology,,
40902573,Effectiveness of treatment modalities for signet ring cell adenocarcinoma of the appendix.,"Hor HY, Yin Tu MP, Pessaran A, Tan PH, Miller RM, Thompson ER, Grotz TE, Gabriel EM, Bagaria SP, Fong ZV, Wasif N",,Hor HY,Am J Surg,2025,2025/09/04,American journal of surgery,,
40902075,Identification of four autophagy-related genetic variants as risk factors for chronic lymphocytic leukemia.,"Cabrera-Serrano AJ, Sánchez-Maldonado JM, Rodríguez-Sevilla JJ, Reyes-Zurita FJ, Collado R, Puiggros A, Cornejo-Calvo E, García P, Ter Horst R, Benavente Y, Jerez A, Landi S, Espinet B, Maffei R, López-Nevot MÁ, Ramos-Campoy S, González-Olmedo C, Chen-Liang TH, Moreno V, Jannus F, Marcos-Gragera R, Carretero-Fernández M, Sampaio-Marques B, Gámez I, Garcia-Alvarez M, Camp NJ, Dierssen-Sotos T, Kamaso J, Pérez EM, Norman AD, Luppi M, Li Y, Alcoceba M, Campa D, de Sanjose S, Marasca R Prof, Ludovico P, Clay-Gilmour AI, Canzian F, Ibañez M, Netea MG, McKay J, Casabonne D, Berndt SI, Slager SL, Sainz J",,Cabrera-Serrano AJ,Blood Adv,2025,2025/09/04,Blood advances,,
40901770,Medical associations' guidance on caring for patients experiencing incarceration in the United States.,"Nguyen NV, Nguyen TA, Akgün KM, Sergew A, Griffith MF, DeMartino ES",,Nguyen NV,PLoS One,2025,2025/09/04,PloS one,,
40900558,Prevalence and Clinical Implications of Sleep Apnea in Hypertrophic Cardiomyopathy.,"Karim S, Chahal A, Venkataraman S, Deshmukh AJ, Siontis KC, Mansukhani M, Konecny T, Khanji MY, Petersen SE, Gersh BJ, Geske JB, Somers VK",,Karim S,JAMA Cardiol,2025,2025/09/04,JAMA cardiology,,
40900521,Chest Pain and Chest Wall Deformity.,"Tayon KG, Miranda WR, Newman DB",,Tayon KG,JAMA Cardiol,2025,2025/09/04,JAMA cardiology,,
40900221,How Do Patient Outcomes in Mechanical Thrombectomy for Large-Core Stroke Vary Based on Neuroimaging Modalities Used for Patient Selection? A Multicenter Multinational Study.,"Alwakaa O, Abo Kasem R, Ramirez-Velandia F, Wadhwa A, Han K, Levitt MR, Alaraj A, Jabbour P, Kim JT, Howard B, Alawieh A, Wolfe SQ, Starke RM, Psychogios MN, Shaban A, Goyal N, Dye J, Ezzeldin M, Yoshimura S, Sconzo D, Filo J, Pettersson S, Fiorella D, Tanweer O, Romano DG, Navia P, Cuellar H, Fragata I, Polifka A, Mascitelli J, Osbun J, Siddiqui F, Moss M, Limaye K, Mokin M, Matouk C, Park MS, Brinjikji W, Daglioglu E, Williamson R Jr, Altschul DJ, Maier I, Crosa R, Gory B, Grandhi R, Paul A, Kan P, Casagrande W, Chowdhry S, Stiefel MF, Rai A, Spiotta AM, Taussky P, Ogilvy CS, Granstein JH",,Alwakaa O,Transl Stroke Res,2025,2025/09/04,Translational stroke research,,
40900056,Blood Pressure Management Guideline Development: A Professional and Personal Journey.,"Jones DW, Taler SJ, Ferdinand KC",,Jones DW,J Am Coll Cardiol,2025,2025/09/04,Journal of the American College of Cardiology,,
40899860,Editorial: Personalizing Intracranial Neuromodulation in Epilepsy.,"Agashe S, Worrell G",,Agashe S,J Clin Neurophysiol,2025,2025/09/04,Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society,,
40899793,Triple A Plus (AAA(+)) Survival Prediction Model for Essential Thrombocythemia: Analysis Involving 7308 Patients.,"Tefferi A, Loscocco GG, Rokach L, Tadmor T, Faldu P, Melamed G, Alapi H, Abdelmagid M, Abdelaziz RM, Yousuf M, Nakhleh M, Pardanani A, Begna KH, Patnaik MM, Szuber N, Carobbio A, Barbui T, Reichard KK, He R, Guglielmelli P, Gangat N, Vannucchi AM",,Tefferi A,Am J Hematol,2025,2025/09/04,American journal of hematology,,
40899786,Multi-Institutional Study of ALK-Positive Large B-Cell Lymphoma: Outcomes in the Era of ALK Inhibitors and Biologically Informed Therapies.,"Atallah-Yunes SA, Nze CC, King RL, Rees MJ, Alderuccio JP, Watkins M, Kahl BS, Easwar N, Yamshon S, Ravindra A, Farooq U, Rosenthal AC, Munoz JL, Rojas-Neira EM, Ayers AA, Moustafa MA, Habermann TM, Witzig TE, Ansell SM, Nowakowski GS, Koff JL, Flowers CR, Wang Y",,Atallah-Yunes SA,Am J Hematol,2025,2025/09/04,American journal of hematology,,
40899404,Characteristics of Transfusion and Association With Oncologic Outcomes in Hepatoblastoma Resection.,"Polites SF, Aldrink JH, Lautz TB, Vierkant RA, Ragan MV, Reiter A, Chen SY, Kim ES, Rinehardt HN, Malek MM, Fleming AM, Murphy AJ, Roach JP, Radhakrishnan S, Kastenberg ZJ, Piche N, Osman Y, Iii HNL, Tracy ET, Favela J, Le HD, Marquart J, Craig B, Lal DR, Seemann N, Petroze R, Rich BS, Glick RD, Selesner L, Yoo A, Fialkowski E, Brown EG, Boehmer C, Dasgupta R, Langham MR Jr",,Polites SF,Pediatr Blood Cancer,2025,2025/09/04,Pediatric blood & cancer,,
40899218,A Novel Case of Nerve Biopsy Proven Wild Type Transthyretin (TTR) Amyloidosis.,"Daley CM, Skolka MP, Engelstad JK, Rech KL, Dyck PJB",,Daley CM,J Peripher Nerv Syst,2025,2025/09/04,Journal of the peripheral nervous system : JPNS,,
40899166,Targeting stem cells with oncolytic viruses: a mathematical modelling approach.,"Jahedi S, Kaveh K, Watmough J",,Jahedi S,Math Biosci Eng,2025,2025/09/04,Mathematical biosciences and engineering : MBE,,
40898879,Progressive Supranuclear Palsy-A Global Review.,"Kukkle PL, Neupane R, Pantelyat A, Wills AM, Jabbari E, Dopper EGP, Kovacs GG, Hoglinger G, Aiba I, Litvan I, Ganguly J, Whitwell JL, Ma J, Okeng'O K, Skakibara R, Forrest S, Lorenzl S, Zewde YZ, Compta Y, Morris HR, MDS‐PSP Study Group",,Kukkle PL,Mov Disord Clin Pract,2025,2025/09/04,Movement disorders clinical practice,,
40898647,Neuropathological Characterisation of McLeod Syndrome With a Proposed New Grading System.,"Reuss AM, Renerts K, Hortobágyi T, Geser F, Haybaeck J, Danek A, Fuhr P, Udd B, Zeman A, Ross RR, Rushing EJ, Jung HH",,Reuss AM,Neuropathol Appl Neurobiol,2025,2025/09/04,Neuropathology and applied neurobiology,,
40898402,Carcinosarcoma Arising in an Eccrine Spiradenoma and Presenting With Metastasis: Case Report and Literature Review.,"Marinelli LM, Orrock JM, Folpe AL",,Marinelli LM,J Cutan Pathol,2025,2025/09/04,Journal of cutaneous pathology,,
40898384,Improving immune-related health outcomes post-cesarean birth with a gut microbiome-based program: A randomized controlled trial.,"Nieto PA, Nakama C, Trachsel J, Goad D, Soderborg TK, Tan DS, Orlandi A, Yuan Q, Song E, Mueller NT, Mars RA, Hoy CS, Sukhum KV",,Nieto PA,Pediatr Allergy Immunol,2025,2025/09/04,Pediatric allergy and immunology : official publication of the European Society of Pediatric Allergy and Immunology,,
40897968,Estimating Health Condition Prevalence Among a Statewide Cohort with Recent Homelessness or Incarceration.,"Zellmer L, Van Siclen R, Bodurtha P, Drawz PE, Waring SC, Chamberlain AM, Sabayan B, Johnson SG, Margolis K, Rossom R, Vickery KD, Winkelman TNA, Minnesota Electronic Health Record Consortium",,Zellmer L,J Gen Intern Med,2025,2025/09/04,Journal of general internal medicine,,
40897878,Enucleation for insulinoma: consolidating evidence through systematic review and meta-analysis.,"Alogakos M, Nakanishi H, Athanasiadis DI, Farsi S, Shreehari Suresh, Witkowiak MM, Abdulsalam FAM, Than CA, McKenzie TJ, Ceppa EP",,Alogakos M,Surg Endosc,2025,2025/09/04,Surgical endoscopy,,
40897446,The role of α(2)-adrenergic mechanisms in sympathetic baroreflex control of human blood pressure.,"Spafford JE, Limberg JK, Harvey RE, Wiggins CC, Iannarelli NJ, Senefeld JW, Nicholson WT, Curry TB, Joyner MJ, Shoemaker JK, Baker SE, Klassen SA",,Spafford JE,Am J Physiol Heart Circ Physiol,2025,2025/09/04,American journal of physiology. Heart and circulatory physiology,,
40894132,Who Makes It Through the Funnel? Sociodemographic Drivers of Recruitment Completion into an AI-Ready Digital Speech Bank.,"Nejat P, Bachman AD, Stubbs VM, Duffy JR, Stricker JL, Herasevich V, Jones DT, Utianski RL, Botha H",,Nejat P,medRxiv,2025,2025/09/04,medRxiv : the preprint server for health sciences,,
40893576,Subcutaneous Leukemia Cutis as the Initial Manifestation of CD23 Negative CLL/SLL in a Patient With Rheumatoid Arthritis on Chronic TNF-Alpha Inhibition.,"Ahmed N, Rashid S, Kutaish N, Ahmed MM",,Ahmed N,Case Rep Hematol,2025,2025/09/04,Case reports in hematology,,
40893425,The Efficacy and Safety of Seladelpar for Primary Biliary Cholangitis: A Systematic Review and Meta-Analysis.,"Abuelazm M, Alsakarneh S, Tanashat M, Manasrah A, Ibrahim AA, Parajuli S, Eltaly H, Amin AM",,Abuelazm M,JGH Open,2025,2025/09/04,JGH open : an open access journal of gastroenterology and hepatology,,
40891773,Neurovascular Sparing Transposition of Pterygopalatine Fossa: Anatomical Principles and Techniques.,"Agosti E, Alexander AY, Leonel LCPC, Mondesir R, Graepel S, Peris-Celda M, Pinheiro-Neto CD",,Agosti E,Laryngoscope,2025,2025/09/04,The Laryngoscope,,
40891591,"Contemporary genitourinary fistula management: treatment, trends, and innovations.","Wei N, Pfeuti C, Linder BJ",,Wei N,Curr Opin Obstet Gynecol,2025,2025/09/04,Current opinion in obstetrics & gynecology,,
40889801,Global usage of spinal cord stimulation therapy for chronic pain syndromes: a systematic review and meta-analysis.,"Vu PD, Mamun N, Feng L, Krause KJ, Huh B, D'Souza RS, Javed S",,Vu PD,Reg Anesth Pain Med,2025,2025/09/04,Regional anesthesia and pain medicine,,
40889391,Targeted biopsy of the ulnar nerve for amyloidosis with potential implications of a diagnostic and nondiagnostic biopsy: illustrative case.,"O'Driscoll CJL, Dyck PJB, Spinner RJ",,O'Driscoll CJL,J Neurosurg Case Lessons,2025,2025/09/04,Journal of neurosurgery. Case lessons,,
40886088,Participation of Women in Cardiovascular Trials From 2017 to 2023: A Systematic Review.,"Rivera FB, Magalong JV, Bantayan NRB, Tesoro N, Milan MJ, Purewal V, Pine PLS, Tsai CM, Navar AM, Mulvagh SL, Januzzi J, Gibson CM, Lala-Trindade A, Cheng S, Lara-Breitinger K, Guerrero M, Gulati M",,Rivera FB,JAMA Netw Open,2025,2025/09/04,JAMA network open,,
40889163,The clinical utility of assessing coronary vasomotor dysfunction in angina with nonobstructive coronary artery.,"Nogami K, Lerman LO, Lerman A",,Nogami K,Curr Opin Cardiol,2025,2025/09/04,Current opinion in cardiology,,
40888787,Best Practices for Addressing Differences in Antimicrobial Resistance Through Quality Improvement Projects in Antimicrobial Stewardship in Low-Resource Settings.,"Kemper K, Abebe W, Bastos LSL, Berha AB, Bozza FA, Kesteman T, Llor C, Nasir N, Okorie M, Parke DM, Parker SK, Pattanaik D, Sarele TV, Sartino C, Jawed B, Sila F, Suleyman G, Cummins N",,Kemper K,Mayo Clin Proc,2025,2025/09/04,Mayo Clinic proceedings,,
40888786,Interleukin 1 Inhibition for Constrictive Pericarditis: A Novel Therapeutic Approach.,"Pathangey G, Narayanasamy H, Marcotte F, Luis SA, Ayoub C",,Pathangey G,Mayo Clin Proc,2025,2025/09/04,Mayo Clinic proceedings,,
40887794,Reassessing the Risk of Esophageal Cancer in Achalasia Post-Therapy: Findings From a Large United States Multi-Centre Retrospective Propensity-Matched Cohort Study.,"Perananthan V, Mohammed MF, Beran A, Hamid O, Codipilly DC, Snyder DL, Leggett C, Alexander JA, Vela M, Ravi K",,Perananthan V,Neurogastroenterol Motil,2025,2025/09/04,Neurogastroenterology and motility,,
40887551,Effects of volenrelaxin in worsening heart failure with preserved ejection fraction: a phase 2 randomized trial.,"Borlaug BA, Testani JM, Petrie MC, Wang Z, Cunningham J, Adams KF Jr, Amir O, Bělohlávek J, Bocchi E, Freitas A Jr, Hominal M, Kadokami T, Merkely B, Miller CA, Nuñez J, Verma S, Yilmaz MB, Oru E, Sam F",,Borlaug BA,Nat Med,2025,2025/09/04,Nature medicine,,
40887152,In Reply to Dimitroyannis.,"Malouff TD, Newpower M, Bush A, Seneviratne D, Ebner DK",,Malouff TD,Pract Radiat Oncol,2025,2025/09/04,Practical radiation oncology,,
40887045,European-based polygenic risk score and genome-wide association study of B-cell non-Hodgkin lymphoma subtypes in Israeli Jews and Palestinian Arabs.,"Kleinstern G, Robinson DP, Abu Seir R, Perlman R, Liu J, Jebrini N, Elyan H, Ben Yehuda D, Slager SL, Paltiel O",,Kleinstern G,Br J Haematol,2025,2025/09/04,British journal of haematology,,
40886976,Practice Changing Updates in Perioperative Medicine Literature 2024. A Systematic Review.,"Khambaty M, Silbert RE, Stephenson CR, Bartlett MA, Regan DW, Sanchez JJ, Sundsted KK, Mauck KF",,Khambaty M,Am J Med,2025,2025/09/04,The American journal of medicine,,
40886121,Discontinuation of Oral Glucocorticoids and Achievement of Remission in Patients With Eosinophilic Granulomatosis With Polyangiitis Treated With Benralizumab or Mepolizumab.,"Wechsler ME, Agmon-Levin N, Jayne DRW, Pagnoux C, Specks U, Börjesson Sjö L, Necander S, Shavit A, Walton C, Merkel PA",,Wechsler ME,ACR Open Rheumatol,2025,2025/09/04,ACR open rheumatology,,
40883967,Association of plasma Alzheimer's disease biomarkers with cognitive decline in cognitively unimpaired individuals.,"Cogswell PM, Wiste HJ, Therneau TM, Griswold ME, Mattsson-Carlgren N, Palmqvist S, Binette AP, Stomrud E, Bateman RJ, Barthelemy N, Braunstein JB, West T, Verghese PB, Machulda MM, Graff-Radford J, Algeciras-Schimnich A, Lowe VJ, Schwarz CG, Senjem ML, Gunter JL, Knopman DS, Vemuri P, Petersen RC, Hansson O, Jack CR Jr",,Cogswell PM,Alzheimers Dement,2025,2025/09/04,Alzheimer's & dementia : the journal of the Alzheimer's Association,,
40883794,The association between cardiometabolic index (CMI) and metabolic dysfunction-associated steatotic liver disease (MASLD): a systematic review and meta-analysis.,"Azarboo A, Fallahtafti P, Jalali S, Khanmohammadi S, Eslami M, Pourghazi F, Saadaeijahromi H",,Azarboo A,Diabetol Metab Syndr,2025,2025/09/04,Diabetology & metabolic syndrome,,
40882959,Patient-Driven Sharing of Health Information: A National Effort to Advance Equitable Interoperability.,"Galvin HK, Coughlin J, Sharko M, Grando MA, Jafari M, Mack S, English A, Petersen C",,Galvin HK,Appl Clin Inform,2025,2025/09/04,Applied clinical informatics,,
40880106,US State Statutes Addressing Unilateral Clinician Decisions About Life-Sustaining Treatment.,"Piscitello GM, Huber MT, Meyer L, Lyons PG, Parker WF, DeMartino ES",,Piscitello GM,JAMA Health Forum,2025,2025/09/04,JAMA health forum,,
40886137,High-Power Short-Duration Ablation Versus Conventional Power Ablation in Pulmonary Vein Isolation in Patients With Atrial Fibrillation: An Updated Systematic Review and Meta-Analysis of Randomized Controlled Trials.,"Cabral DCBI, Rivera A, Braga MAP, Passos BMF, Felix IF, Ternes CMP, Brigido ARD, de Carvalho GD, Deshmukh AJ, DeSimone CV",,Cabral DCBI,J Cardiovasc Electrophysiol,2025,2025/09/04,Journal of cardiovascular electrophysiology,,
40885591,The Reply.,"Ajmal M, Javed B, Kubba S, Singh K, Samady H, Lerman A, Corban M",,Ajmal M,Am J Med,2025,2025/09/04,The American journal of medicine,,
40842156,Exploiting viral infection/vaccination to focus high-affinity T cell populations into tumors using oncolytic viro-immunotherapy.,"Rios AV, Metko M, Tonne J, Thompson J, Kendall B, Chen A, Mudrick H, Masopust D, Irshad S, Barry M, Barry MA, Diaz RM, Vile R",,Rios AV,Mol Ther,2025,2025/09/04,Molecular therapy : the journal of the American Society of Gene Therapy,,
40884415,Preanalytical variables and analytes in liquid biopsy approach for brain tumors: A comprehensive review and recommendations from the RANO Group and the Brain Liquid Biopsy Consortium.,"Bettegowda C, Noushmehr H, Affinito A, Ahluwalia MS, Ansorge O, Ayasoufi K, Bagley S, Barnholtz-Sloan J, Best M, Brandsma D, Brodie C, Brüning-Richardson A, Castro AV, Chang SM, Condorelli G, Daher A, Datta V, de Groot J, French P, Galanis E, Golebiewska A, Hamerlik P, Hanemann CO, Holdhoff M, Huse J, Khasraw M, LeBlang S, Melin B, Mouliere F, O'Leary C, Rak J, Ray A, Robinson S, Rominiyi O, Roncaroli F, Rudà R, Seoane J, Sol N, van den Bent MJ, Vogelbaum MA, Walbert T, Watts C, Weiss T, Weller M, Wen PY, Wykes V, Yip S, Short SC, Soffietti R",,Bettegowda C,Neuro Oncol,2025,2025/09/04,Neuro-oncology,,
40884017,A phase 2 trial of hydroxychloroquine in individuals at risk for rheumatoid arthritis.,"Deane KD, Striebich CC, Feser ML, O'Dell JR, James JA, Sparks JA, Davis JM, Graf J, McMahon MA, Solow EB, Forbess L, Tiliakos A, Schiopu E, Danila MI, Horowitz DL, Kay J, Strickland CD, Guthridge JM, Arriens C, Grossman JM, Demoruelle MK, Bemis EA, Frazer-Abel A, Fleischer CL, Fox DA, Mikuls TR, Greenleaf M, York K, Walker S, Keyes-Elstein L, Byron M, Fedler J, Goldmuntz EA, Holers VM",,Deane KD,Arthritis Rheumatol,2025,2025/09/04,"Arthritis & rheumatology (Hoboken, N.J.)",,
40883532,ASO Visual Abstract: Impact of Time to Surgery Post Neoadjuvant Chemotherapy on Breast Cancer Outcomes: A Retrospective Study of Patients Enrolled in the I-SPY 2 Clinical Trial.,"Van Hassel J, Dimitroff K, Yau C, Mukhtar R, Boughey JC, Ladores V, Howard-McNatt MM, Jaskowiak N, Perlmutter J, DeMichele A, Yee D, Hylton N, Symmans WF, Van't Veer L, Rugo H, Esserman LJ, Shatsky R, Isaacs C, Kuerer H, Wallace AM, Prionas N, Tseng J, Reyna CR, Taunk N, Kesmodel S, Lee MC, Fox J, Piltin MA, Tchou J, Arciero CA, Postlewait LM, Sauder C, Rao R",,Van Hassel J,Ann Surg Oncol,2025,2025/09/04,Annals of surgical oncology,,
40883066,"Imagenomics and Ventricular Arrhythmia: The Scar, The Channel, The Variant.","Martini C, Scordo DM, Borrelli A, Scarà A, Sciarra L, Gallina S, Chahal CAA, Khanji MY, Mantini C, Ricci F",,Martini C,JACC Case Rep,2025,2025/09/04,JACC. Case reports,,
40882877,PARP inhibitors potentiate proton therapy end-of-range effects by accelerating replication forks and promoting transcription conflict.,"Han Y, Zhou Q, Dibbs A, Chen B, Weiskittel TM, Remmes NB, Wu Z, Ebner DK, Kloeber JA, Callaghan CM, Bendel AE, Mullikin TC, Laack NN, Xu-Welliver M, Lou Z, Mutter RW",,Han Y,Int J Radiat Oncol Biol Phys,2025,2025/09/04,"International journal of radiation oncology, biology, physics",,
